participant_id,timestamp,slot,brand
GPTC001,2026-08-11T19:19:06.429,backpack_s1/GGWxT,lDLY
GPTC001,2026-08-11T19:19:06.429,backpack_s1/HZoGQ,zUaRv
GPTC001,2026-08-11T19:19:06.429,backpack_s1/rkUp,nBbVe
GPTC001,2026-08-11T19:19:06.429,backpack_s2/MjAZL,VeRX
GPTC001,2026-08-11T19:19:06.430,backpack_s2/RRewe,KpRAh
GPTC001,2026-08-11T19:19:06.430,backpack_s2/rUlOu,veBJe
GPTC001,2026-08-11T19:19:06.430,backpack_s3/ethOi,UDbtf
GPTC001,2026-08-11T19:19:06.430,backpack_s3/fUPtV,UTuw
GPTC001,2026-08-11T19:19:06.430,backpack_s3/vMkv,LcZoH
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s1/YctQH,XFQz
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s1/dwaEd,zfVg
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s1/gaAhy,iOAw
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s2/msaup,sitZ
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s2/sEIHa,xpgV
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s2/xrXa,vEeJ
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s3/BUKsc,ILKX
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s3/fpQyd,UzMru
GPTC001,2026-08-11T19:19:06.430,bt_speaker_s3/iKzhL,PyeWz
GPTC001,2026-08-11T19:19:06.430,chair_seat_s1/FNDf,fPzpO
GPTC001,2026-08-11T19:19:06.430,chair_seat_s1/NmeyU,vSXNA
GPTC001,2026-08-11T19:19:06.430,chair_seat_s1/SKIwV,jrQKl
GPTC001,2026-08-11T19:19:06.430,chair_seat_s2/HeTN,ACzS
GPTC001,2026-08-11T19:19:06.430,chair_seat_s2/WvMjO,Sevwf
GPTC001,2026-08-11T19:19:06.430,chair_seat_s2/nKyqZ,OMtW
GPTC001,2026-08-11T19:19:06.430,chair_seat_s3/Gvtn,oQNkg
GPTC001,2026-08-11T19:19:06.430,chair_seat_s3/kenKn,qsGIF
GPTC001,2026-08-11T19:19:06.430,chair_seat_s3/nuzG,ajAtg
GPTC001,2026-08-11T19:19:06.431,keyboard_s1/fFYSu,nzIR
GPTC001,2026-08-11T19:19:06.431,keyboard_s1/qqkl,GQIZ
GPTC001,2026-08-11T19:19:06.431,keyboard_s1/tUELb,xLmI
GPTC001,2026-08-11T19:19:06.431,keyboard_s2/VgzOB,fmZVa
GPTC001,2026-08-11T19:19:06.431,keyboard_s2/mAIn,nqJy
GPTC001,2026-08-11T19:19:06.431,keyboard_s2/uQpP,yiHP
GPTC001,2026-08-11T19:19:06.431,keyboard_s3/kVoXp,GQikf
GPTC001,2026-08-11T19:19:06.431,keyboard_s3/sZEQ,dOeJH
GPTC001,2026-08-11T19:19:06.431,keyboard_s3/tuKs,ucuw
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s1/GAsMz,ZQUqG
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s1/Ybqzj,BnOS
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s1/wPAl,aoTb
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s2/KEPbN,AjbLT
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s2/YROx,QKls
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s2/brlS,IwNXH
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s3/FIwI,TJOT
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s3/bAjG,cBoCV
GPTC001,2026-08-11T19:19:06.431,laptop_stand_s3/eweBH,LpceQ
GPTC001,2026-08-11T19:19:06.431,massage_roller_s1/ENtU,vLMI
GPTC001,2026-08-11T19:19:06.431,massage_roller_s1/hNIet,KCxD
GPTC001,2026-08-11T19:19:06.431,massage_roller_s1/yoqp,lwjDS
GPTC001,2026-08-11T19:19:06.431,massage_roller_s2/HTiC,SLxHN
GPTC001,2026-08-11T19:19:06.431,massage_roller_s2/icuiF,Uewkk
GPTC001,2026-08-11T19:19:06.431,massage_roller_s2/ycPka,mnWH
GPTC001,2026-08-11T19:19:06.431,massage_roller_s3/QjIK,JvYew
GPTC001,2026-08-11T19:19:06.431,massage_roller_s3/gFtAx,GHXIx
GPTC001,2026-08-11T19:19:06.431,massage_roller_s3/yxcSb,CLxD
GPTC001,2026-08-11T19:19:06.431,toothbrush_s1/CFkrj,PGZiV
GPTC001,2026-08-11T19:19:06.431,toothbrush_s1/CyAv,fQQK
GPTC001,2026-08-11T19:19:06.431,toothbrush_s1/xChB,CzvLZ
GPTC001,2026-08-11T19:19:06.431,toothbrush_s2/PrYC,aTqAR
GPTC001,2026-08-11T19:19:06.431,toothbrush_s2/nDEXC,eizq
GPTC001,2026-08-11T19:19:06.431,toothbrush_s2/qjtZi,AdQqZ
GPTC001,2026-08-11T19:19:06.431,toothbrush_s3/HeFk,YaUjk
GPTC001,2026-08-11T19:19:06.431,toothbrush_s3/fXaB,tIlj
GPTC001,2026-08-11T19:19:06.492,toothbrush_s3/sXWi,wUvW
GPTC001,2026-08-11T19:19:06.493,windbreaker_s1/OiuR,JGNi
GPTC001,2026-08-11T19:19:06.493,windbreaker_s1/ngUv,vYXp
GPTC001,2026-08-11T19:19:06.493,windbreaker_s1/tGlKh,cZWl
GPTC001,2026-08-11T19:19:06.493,windbreaker_s2/RYVfJ,Buezp
GPTC001,2026-08-11T19:19:06.493,windbreaker_s2/YIzo,xoyz
GPTC001,2026-08-11T19:19:06.493,windbreaker_s2/cYaOz,dTviO
GPTC001,2026-08-11T19:19:06.493,windbreaker_s3/BkFM,jIDYy
GPTC001,2026-08-11T19:19:06.493,windbreaker_s3/JKpp,tcoU
GPTC001,2026-08-11T19:19:06.493,windbreaker_s3/uPYLW,VqwqW
