participant_id,timestamp,phase,block_position,position,source_code,item_id,dimension,score,rt
GPTC001,2026-08-11T19:33:55.215,decision,1,1,search,pr4,benevolence,4,2.6539
GPTC001,2026-08-11T19:34:07.416,decision,1,2,search,pr2,ability,4,11.5395
GPTC001,2026-08-11T19:34:10.605,decision,1,3,search,pr5,benevolence,4,2.5211
GPTC001,2026-08-11T19:34:13.817,decision,1,4,search,pr3,ability,4,2.5513
GPTC001,2026-08-11T19:34:16.732,decision,1,5,search,pr1,overall,4,2.2564
GPTC001,2026-08-11T19:34:18.917,decision,1,6,expert,pr2,ability,4,1.5242
GPTC001,2026-08-11T19:34:20.702,decision,1,7,expert,pr5,benevolence,4,1.1379
GPTC001,2026-08-11T19:34:22.284,decision,1,8,expert,pr4,benevolence,4,0.9278
GPTC001,2026-08-11T19:34:23.983,decision,1,9,expert,pr1,overall,4,1.0443
GPTC001,2026-08-11T19:34:25.667,decision,1,10,expert,pr3,ability,4,1.0273
GPTC001,2026-08-11T19:34:27.752,decision,1,11,ad,pr1,overall,4,1.4289
GPTC001,2026-08-11T19:34:29.100,decision,1,12,ad,pr4,benevolence,4,0.6964
GPTC001,2026-08-11T19:34:30.234,decision,1,13,ad,pr2,ability,4,0.4781
GPTC001,2026-08-11T19:34:31.434,decision,1,14,ad,pr3,ability,4,0.5564
GPTC001,2026-08-11T19:34:32.567,decision,1,15,ad,pr5,benevolence,4,0.4862
GPTC001,2026-08-11T19:34:33.701,decision,1,16,gpt,pr5,benevolence,4,0.466
GPTC001,2026-08-11T19:34:34.838,decision,1,17,gpt,pr4,benevolence,4,0.483
GPTC001,2026-08-11T19:34:35.884,decision,1,18,gpt,pr3,ability,4,0.3982
GPTC001,2026-08-11T19:34:36.918,decision,1,19,gpt,pr1,overall,4,0.3913
GPTC001,2026-08-11T19:34:38.068,decision,1,20,gpt,pr2,ability,4,0.5044
GPTC001,2026-08-11T19:34:39.335,decision,1,21,consensus,pr2,ability,4,0.5957
GPTC001,2026-08-11T19:34:40.951,decision,1,22,consensus,pr1,overall,4,0.9579
GPTC001,2026-08-11T19:34:42.195,decision,1,23,consensus,pr4,benevolence,4,0.587
GPTC001,2026-08-11T19:34:43.323,decision,1,24,consensus,pr3,ability,4,0.4849
GPTC001,2026-08-11T19:34:44.434,decision,1,25,consensus,pr5,benevolence,4,0.4724
GPTC001,2026-08-11T19:34:45.545,decision,1,26,peer,pr3,ability,4,0.4527
GPTC001,2026-08-11T19:34:46.824,decision,1,27,peer,pr5,benevolence,4,0.6313
GPTC001,2026-08-11T19:34:48.009,decision,1,28,peer,pr2,ability,4,0.5345
GPTC001,2026-08-11T19:34:49.077,decision,1,29,peer,pr4,benevolence,4,0.426
GPTC001,2026-08-11T19:34:50.076,decision,1,30,peer,pr1,overall,4,0.3588
GPTC001,2026-08-11T19:38:31.799,info,2,1,consensus,pr1,overall,4,1.9308
GPTC001,2026-08-11T19:38:32.799,info,2,2,consensus,pr2,ability,4,0.3518
GPTC001,2026-08-11T19:38:33.990,info,2,3,consensus,pr3,ability,4,0.5422
GPTC001,2026-08-11T19:38:35.432,info,2,4,consensus,pr4,benevolence,4,0.8099
GPTC001,2026-08-11T19:38:36.630,info,2,5,consensus,pr5,benevolence,4,0.5605
GPTC001,2026-08-11T19:38:37.549,info,2,6,expert,pr3,ability,4,0.2797
GPTC001,2026-08-11T19:38:38.564,info,2,7,expert,pr1,overall,4,0.3643
GPTC001,2026-08-11T19:38:39.630,info,2,8,expert,pr2,ability,4,0.417
GPTC001,2026-08-11T19:38:40.664,info,2,9,expert,pr4,benevolence,4,0.3817
GPTC001,2026-08-11T19:38:41.802,info,2,10,expert,pr5,benevolence,4,0.4859
GPTC001,2026-08-11T19:38:42.869,info,2,11,peer,pr4,benevolence,4,0.4254
GPTC001,2026-08-11T19:38:43.865,info,2,12,peer,pr1,overall,4,0.3511
GPTC001,2026-08-11T19:38:45.086,info,2,13,peer,pr2,ability,4,0.5687
GPTC001,2026-08-11T19:38:46.383,info,2,14,peer,pr3,ability,4,0.6465
GPTC001,2026-08-11T19:38:47.985,info,2,15,peer,pr5,benevolence,4,0.9534
GPTC001,2026-08-11T19:38:49.584,info,2,16,gpt,pr4,benevolence,3,0.9616
GPTC001,2026-08-11T19:38:51.091,info,2,17,gpt,pr5,benevolence,4,0.8552
GPTC001,2026-08-11T19:38:52.031,info,2,18,gpt,pr3,ability,4,0.2964
GPTC001,2026-08-11T19:38:53.065,info,2,19,gpt,pr1,overall,4,0.3866
GPTC001,2026-08-11T19:38:53.965,info,2,20,gpt,pr2,ability,4,0.2472
GPTC001,2026-08-11T19:38:54.965,info,2,21,ad,pr2,ability,4,0.3537
GPTC001,2026-08-11T19:38:55.892,info,2,22,ad,pr4,benevolence,4,0.2779
GPTC001,2026-08-11T19:38:56.828,info,2,23,ad,pr5,benevolence,4,0.3061
GPTC001,2026-08-11T19:38:57.735,info,2,24,ad,pr3,ability,4,0.2793
GPTC001,2026-08-11T19:38:58.634,info,2,25,ad,pr1,overall,4,0.2463
GPTC001,2026-08-11T19:38:59.525,info,2,26,search,pr5,benevolence,4,0.2594
GPTC001,2026-08-11T19:39:00.898,info,2,27,search,pr2,ability,4,0.735
GPTC001,2026-08-11T19:39:01.765,info,2,28,search,pr3,ability,4,0.2245
GPTC001,2026-08-11T19:39:02.716,info,2,29,search,pr4,benevolence,4,0.2974
GPTC001,2026-08-11T19:39:03.665,info,2,30,search,pr1,overall,4,0.2999
