participant_id,timestamp,trial_number,block,set_key,category_code,category_kr,set_id,source_code,source_label,repetition,rec_brand,rec_rank,price,priming,display_order,detail_lines,fix1_dur,info_accept,info_accept_rt,fix2_dur,purchase_choice,purchase_choice_bin,purchase_choice_rt,purchase_intent,purchase_intent_rt
GPTC001,2026-08-11T19:22:46.364,1,practice,backpack_s1,backpack,백팩,1,practice,[예시 정보원],1,nBbVe,2,34000,UT,0-1-2,어깨를 파고들지 않는 넓은 끈 | 2년 봉제 보증 | 생활 방수 원단,0.731,6,5.108,0.685,산다,1,7.1369,6,5.4315
GPTC001,2026-08-11T19:23:24.328,2,practice,backpack_s3,backpack,백팩,3,practice,[예시 정보원],1,LcZoH,2,47000,UT,1-0-2,가슴 스트랩으로 잡아 주는 균형 | 생활 방수 원단 | 노트북 전용 칸,0.671,6,2.6345,1.075,,,,,
GPTC001,2026-08-11T19:23:52.006,1,main,laptop_stand_s1,laptop_stand,노트북 거치대,1,gpt,[ChatGPT],1,ZQUqG,1,32000,UT,0-1-2,4kg까지 흔들리지 않는 지지 | 케이블 정리 홈 | 15.6인치까지 대응,0.99,6,3.1213,0.751,안 산다,0,4.3993,4,1.5894
GPTC001,2026-08-11T19:24:10.788,2,main,windbreaker_s2,windbreaker,바람막이,2,ad,[광고],2,Buezp,1,43000,UT,2-1-0,목까지 올라오는 깃 | 야간용 반사 테이프 | 세탁기 사용 가능,0.742,3,3.7557,1.47,안 산다,0,1.2081,3,1.5725
GPTC001,2026-08-11T19:24:28.592,3,main,windbreaker_s3,windbreaker,바람막이,3,expert,[전문가],2,tcoU,2,49000,HE,2-1-0,접어서 손바닥에 들어가는 부피 | 로고 없는 앞면 | 도심에서 입기 좋은 실루엣,0.543,5,1.6981,1.142,산다,1,3.2817,6,1.0667
GPTC001,2026-08-11T19:24:47.460,4,main,chair_seat_s3,chair_seat,자세교정 방석,3,consensus,[다수 의견],1,qsGIF,1,48000,HE,0-2-1,등받이 없이도 허리가 서는 각도 | 겉면 니트 마감 | 사무실에 무난한 무채색,0.918,6,1.0117,1.474,안 산다,0,1.3335,2,4.0636
GPTC001,2026-08-11T19:25:08.237,5,main,keyboard_s1,keyboard,저소음 무선 키보드,1,search,[검색엔진],2,xLmI,2,34000,UT,1-2-0,도서관에서도 눈치 안 보이는 타건음 | 키캡 교체 부품 동봉 | 윈도우·맥 양쪽 지원,1.14,6,2.7767,1.131,산다,1,1.0429,5,4.6598
GPTC001,2026-08-11T19:25:24.594,6,main,bt_speaker_s3,bt_speaker,블루투스 스피커,3,ad,[광고],2,PyeWz,3,48900,HE,1-0-2,앱 없이 끝나는 초기 설정 | 겉면 패브릭 마감 | 손에 감기는 원통 형태,1.313,7,1.3183,1.411,안 산다,0,0.9261,5,1.3465
GPTC001,2026-08-11T19:25:39.697,7,main,chair_seat_s1,chair_seat,자세교정 방석,1,search,[검색엔진],1,jrQKl,3,35000,UT,1-2-0,오래 앉아도 눌리지 않는 고밀도 폼 | 커버 분리 세탁 가능 | 2년 형태 보증,1.074,6,0.9914,0.985,안 산다,0,1.0219,3,1.0161
GPTC001,2026-08-11T19:26:00.599,8,main,windbreaker_s1,windbreaker,바람막이,1,consensus,[다수 의견],2,vYXp,1,36000,UT,1-2-0,안감을 덧댄 환절기 보온 | 야간용 반사 테이프 | 세탁기 사용 가능,0.6,3,0.7948,1.487,산다,1,6.6355,6,1.3765
GPTC001,2026-08-11T19:26:16.093,9,main,laptop_stand_s1,laptop_stand,노트북 거치대,1,expert,[전문가],2,ZQUqG,1,32000,UT,0-1-2,4kg까지 흔들리지 않는 지지 | 케이블 정리 홈 | 15.6인치까지 대응,0.915,7,1.2616,1.191,산다,1,0.9188,6,1.2598
