thisRow.t,notes,TrialNumber,block,set_key,category_code,category_kr,set_id,source_code,source_label,repetition,price,rec_position,rec_brand,rec_detail,rec_detail_type,Candidates,Details,DetailTypes,N_UT,N_HE,ExtraLines,fix1.started,fix1.dur,info.started,info.stopped,InfoAccept,InfoAccept_RT,fix2.started,fix2.dur,decision.started,decision.stopped,PurchaseChoice,PurchaseChoice_bin,PurchaseChoice_RT,PurchaseIntent,PurchaseIntent_RT,participant,age,sex,excluded,date,
,,1,practice,bt_speaker_s3,bt_speaker,블루투스 스피커,3,practice,[예시 정보원],1,44000,1,osOj,전원만 켜면 잡히는 자동 연결,UT,osOj | qcdmg | GjYm,전원만 켜면 잡히는 자동 연결 | 저음이 두껍게 깔리는 소리 | 완충 24시간 재생,UT | HE | UT,2,1,손에 감기는 원통 형태 | 네 가지 색상 구성,5.777970399998594,1.205,6.998496499960311,12.015409499988891,5,1.0051,13.284776699962094,0.515,13.817429999995511,17.831158699991647,구매한다,1,1.2461,7,1.3886,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,2,practice,windbreaker_s1,windbreaker,바람막이,1,practice,[예시 정보원],1,49000,3,nPgn,접어서 주머니에 들어가는 부피,UT,yWDL | WhCG | nPgn,봉제선까지 막은 방수 처리 | 도심에서 입기 좋은 실루엣 | 접어서 주머니에 들어가는 부피,UT | HE | UT,2,1,목까지 올라오는 깃 | 세탁기 사용 가능,20.596741399960592,1.183,21.78222240001196,26.799951599969063,7,1.3601,28.31255739997141,1.364,29.682015399972443,33.68204609997338,구매하지 않는다,0,1.2977,3,0.8964,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,1,main,keyboard_s3,keyboard,저소음 무선 키보드,3,consensus,[다수 의견],1,41000,1,FTtDE,윈도우와 맥 양쪽 지원,UT,FTtDE | nYXjX | Wvuw,윈도우와 맥 양쪽 지원 | 도서관에서도 눈치 안 보이는 타건음 | 두 가지 색을 섞은 키캡,UT | HE | HE,1,2,손목이 편한 낮은 경사 | 건전지 하나로 12개월,40.105722500011325,0.689,40.80035539995879,45.81673779996345,6,1.1606,47.13383599999361,0.508,47.65119619999314,51.666935899993405,구매하지 않는다,0,1.2467,1,1.3109,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,2,main,chair_seat_s2,chair_seat,자세교정 방석,2,peer,[가까운 지인],2,39000,3,yhHDM,여름에도 덜 더운 메시 상판,HE,ZDWIZ | gaPAU | yhHDM,골반을 세워 주는 경사 설계 | 커버 분리 세탁 가능 | 여름에도 덜 더운 메시 상판,UT | UT | HE,2,1,사무실에 무난한 무채색 | 미끄럼 방지 바닥 처리,54.37104920001002,1.172,55.55307669995818,60.56722869997611,4,0.7123,61.43689329997869,0.94,62.38474269997096,66.40123839996522,구매한다,1,1.1302,7,1.211,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,3,main,chair_seat_s1,chair_seat,자세교정 방석,1,peer,[가까운 지인],2,41000,2,GyUoV,오래 앉아도 눌리지 않는 푹신함,HE,YAhR | GyUoV | ECpm,커버 분리 세탁 가능 | 오래 앉아도 눌리지 않는 푹신함 | 골반을 세워 주는 경사 설계,UT | HE | UT,2,1,여름에도 덜 더운 메시 상판 | 미끄럼 방지 바닥 처리,68.81480910000391,1.403,70.22081889997935,75.23089579999214,1,1.5763,76.98707899998408,1.306,78.30353189999005,82.31737409997731,구매한다,1,1.0633,3,1.2773,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,4,main,toothbrush_s2,toothbrush,전동 칫솔,2,search,[검색엔진],2,35000,2,lNDKP,손에 감기는 굴곡 손잡이,HE,sDVw | lNDKP | aQiL,세기 5단계 조절 | 손에 감기는 굴곡 손잡이 | 분당 31000회 진동,UT | HE | UT,2,1,잇몸을 부드럽게 훑는 미세모 | 칫솔모 3개월치 동봉,84.88381679996382,1.419,86.30456099996809,91.31810460000997,7,1.6422,93.19399200001499,1.165,94.37144039996201,98.38388939999277,구매하지 않는다,0,1.3302,3,0.8459,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,5,main,chair_seat_s3,chair_seat,자세교정 방석,3,consensus,[다수 의견],2,34000,3,CCMlf,사무실에 무난한 무채색,HE,DUUw | QIXEg | CCMlf,여름에도 덜 더운 메시 상판 | 커버 분리 세탁 가능 | 사무실에 무난한 무채색,HE | UT | HE,1,2,오래 앉아도 눌리지 않는 푹신함 | 골반을 세워 주는 경사 설계,100.66372909996426,1.422,102.12078900000779,107.14127769996412,6,1.2778,108.51347579999128,0.807,109.3210720999632,113.33694309997372,구매하지 않는다,0,0.7747,7,1.2662,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,6,main,laptop_stand_s3,laptop_stand,노트북 거치대,3,consensus,[다수 의견],2,34000,2,QsmmN,두 가지 색상 구성,HE,HzqNU | QsmmN | muhKq,15.6인치까지 대응 | 두 가지 색상 구성 | 접었을 때 손바닥만 한 두께,UT | HE | HE,1,2,눈높이까지 올라가는 6단 조절 | 책상에 어울리는 무광 마감,115.47821450000629,0.934,116.42091039998922,121.46035559999291,7,1.4039,123.08158880000701,0.647,123.77629139996134,127.8245040999609,구매한다,1,1.2263,7,1.3288,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,7,main,keyboard_s1,keyboard,저소음 무선 키보드,1,peer,[가까운 지인],2,32000,1,rTSNa,두 가지 색을 섞은 키캡,HE,rTSNa | BnWrf | gEbq,두 가지 색을 섞은 키캡 | 건전지 하나로 12개월 | 윈도우와 맥 양쪽 지원,HE | UT | UT,2,1,도서관에서도 눈치 안 보이는 타건음 | 기기 세 대를 키 하나로 전환,130.45934719999786,0.915,131.38873700000113,136.38920159998816,4,0.9414,137.51425639999798,1.205,138.72340949997306,142.73765729996376,구매한다,1,1.0155,5,1.1765,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,8,main,toothbrush_s3,toothbrush,전동 칫솔,3,peer,[가까운 지인],1,35000,1,OcLI,손에 감기는 굴곡 손잡이,HE,OcLI | hsrAW | dHtG,손에 감기는 굴곡 손잡이 | 분당 31000회 진동 | 세기 5단계 조절,HE | UT | UT,2,1,잇몸을 부드럽게 훑는 미세모 | 물때가 덜 보이는 무광 마감,145.02060119999805,0.67,145.70916379999835,150.72300429997267,3,1.2211,152.0923613999621,0.595,152.6922439999762,156.73477899999125,구매하지 않는다,0,0.9519,7,1.2095,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
,,9,main,massage_roller_s1,massage_roller,마사지 롤러,1,search,[검색엔진],1,36000,2,kTEB,곡면으로 다듬은 마감,HE,eRSn | kTEB | dJkxv,손에서 미끄러지지 않는 그립 | 곡면으로 다듬은 마감 | 뭉친 곳을 눌러 주는 돌기 배열,HE | HE | UT,1,2,물세척 가능 | 가방에 들어가는 길이,159.0569474999793,0.975,160.04265640000813,165.0555686999578,3,1.2771,166.48616649996256,1.051,167.53940939996392,171.55550630000653,구매하지 않는다,0,1.3986,5,1.0108,DEMO01,23,여,bt_speaker|windbreaker,2026-08-11_21h54.39,
