participant_id,timestamp,index,operand_a,operand_b,shown_sum,is_correct_equation,responded_correct,hit,rt
GPTC001,2026-08-11T19:34:59.135,1,68,46,114,1,1,1,3.3704
GPTC001,2026-08-11T19:35:01.786,2,32,62,94,1,1,1,2.1908
GPTC001,2026-08-11T19:35:04.669,3,87,86,173,1,1,1,2.4262
GPTC001,2026-08-11T19:35:06.219,4,15,41,65,0,1,0,1.085
GPTC001,2026-08-11T19:35:06.970,5,46,33,76,0,1,0,0.3135
GPTC001,2026-08-11T19:35:07.654,6,13,70,83,1,1,1,0.2341
GPTC001,2026-08-11T19:35:08.135,7,25,64,89,1,1,1,0.0399
GPTC001,2026-08-11T19:35:08.620,8,62,83,145,1,1,1,0.043
GPTC001,2026-08-11T19:35:09.069,9,30,74,104,1,1,1,0.0049
GPTC001,2026-08-11T19:35:09.553,10,19,21,40,1,1,1,0.0476
GPTC001,2026-08-11T19:35:10.053,11,44,29,73,1,1,1,0.0473
GPTC001,2026-08-11T19:35:10.603,12,79,14,96,0,1,0,0.0959
GPTC001,2026-08-11T19:35:11.119,13,70,76,146,1,1,1,0.0638
GPTC001,2026-08-11T19:35:11.636,14,86,20,106,1,1,1,0.0733
GPTC001,2026-08-11T19:35:12.139,15,35,50,78,0,1,0,0.0629
GPTC001,2026-08-11T19:35:12.653,16,69,87,156,1,1,1,0.0673
GPTC001,2026-08-11T19:35:13.137,17,72,75,156,0,1,0,0.0458
GPTC001,2026-08-11T19:35:13.636,18,83,45,128,1,1,1,0.054
GPTC001,2026-08-11T19:35:14.171,19,86,72,158,1,1,1,0.0855
GPTC001,2026-08-11T19:35:14.686,20,77,50,127,1,1,1,0.0631
GPTC001,2026-08-11T19:35:15.155,21,64,78,142,1,1,1,0.0072
GPTC001,2026-08-11T19:35:15.686,22,79,71,143,0,1,0,0.088
GPTC001,2026-08-11T19:35:16.220,23,17,70,87,1,1,1,0.0929
GPTC001,2026-08-11T19:35:16.753,24,20,49,60,0,1,0,0.0959
GPTC001,2026-08-11T19:35:17.303,25,11,31,42,1,1,1,0.1128
GPTC001,2026-08-11T19:35:17.854,26,22,46,59,0,1,0,0.1002
GPTC001,2026-08-11T19:35:18.403,27,79,45,124,1,1,1,0.1063
GPTC001,2026-08-11T19:35:18.937,28,76,58,143,0,1,0,0.081
GPTC001,2026-08-11T19:35:19.456,29,45,11,49,0,1,0,0.0742
GPTC001,2026-08-11T19:35:20.003,30,28,88,116,1,1,1,0.085
GPTC001,2026-08-11T19:35:20.486,31,75,40,124,0,1,0,0.0455
GPTC001,2026-08-11T19:35:21.053,32,49,14,63,1,1,1,0.1239
GPTC001,2026-08-11T19:35:21.587,33,52,70,122,1,1,1,0.0884
GPTC001,2026-08-11T19:35:22.188,34,86,59,148,0,1,0,0.1577
GPTC001,2026-08-11T19:35:22.720,35,23,48,74,0,1,0,0.0781
GPTC001,2026-08-11T19:35:23.291,36,52,73,125,1,1,1,0.1274
GPTC001,2026-08-11T19:35:23.820,37,56,48,111,0,1,0,0.0878
GPTC001,2026-08-11T19:35:24.354,38,12,23,35,1,1,1,0.0867
GPTC001,2026-08-11T19:35:24.953,39,83,51,134,1,1,1,0.1412
GPTC001,2026-08-11T19:35:25.520,40,51,39,97,0,1,0,0.1297
GPTC001,2026-08-11T19:35:26.104,41,16,37,53,1,1,1,0.1332
GPTC001,2026-08-11T19:35:26.654,42,85,47,132,1,1,1,0.1101
GPTC001,2026-08-11T19:35:27.237,43,72,43,112,0,1,0,0.1216
GPTC001,2026-08-11T19:35:27.787,44,15,83,107,0,1,0,0.093
GPTC001,2026-08-11T19:35:28.354,45,33,29,62,1,1,1,0.1007
GPTC001,2026-08-11T19:35:28.937,46,31,59,99,0,1,0,0.1199
GPTC001,2026-08-11T19:35:29.504,47,69,68,134,0,1,0,0.0986
GPTC001,2026-08-11T19:35:30.054,48,28,51,72,0,1,0,0.0915
GPTC001,2026-08-11T19:35:30.587,49,72,22,101,0,1,0,0.0652
GPTC001,2026-08-11T19:35:31.170,50,67,28,102,0,1,0,0.129
GPTC001,2026-08-11T19:35:31.741,51,58,24,79,0,1,0,0.125
GPTC001,2026-08-11T19:35:32.371,52,29,79,108,1,1,1,0.1825
GPTC001,2026-08-11T19:35:32.938,53,21,24,38,0,1,0,0.1004
GPTC001,2026-08-11T19:35:33.438,54,59,69,131,0,1,0,0.042
GPTC001,2026-08-11T19:35:33.922,55,22,35,57,1,1,1,0.0188
GPTC001,2026-08-11T19:35:34.455,56,63,13,67,0,1,0,0.069
GPTC001,2026-08-11T19:35:34.987,57,74,70,147,0,1,0,0.0759
GPTC001,2026-08-11T19:35:35.554,58,70,32,102,1,1,1,0.1274
GPTC001,2026-08-11T19:35:36.137,59,87,35,122,1,1,1,0.1211
GPTC001,2026-08-11T19:35:36.721,60,26,78,107,0,1,0,0.1192
GPTC001,2026-08-11T19:35:37.288,61,12,56,77,0,1,0,0.102
GPTC001,2026-08-11T19:35:37.837,62,72,25,97,1,1,1,0.0994
GPTC001,2026-08-11T19:35:38.388,63,41,17,58,1,1,1,0.0851
GPTC001,2026-08-11T19:35:38.938,64,13,60,73,1,1,1,0.1038
GPTC001,2026-08-11T19:35:39.504,65,83,19,105,0,1,0,0.1255
GPTC001,2026-08-11T19:35:40.071,66,63,53,109,0,1,0,0.1282
GPTC001,2026-08-11T19:35:40.655,67,37,55,92,1,1,1,0.134
GPTC001,2026-08-11T19:35:41.223,68,35,54,89,1,1,1,0.0985
