category_code,category_kr,major_class,price_low,price_high,block
bt_speaker,블루투스 스피커,전자기기,33000,49000,main
keyboard,저소음 무선 키보드,전자기기,32000,48000,main
power_bank,보조배터리,전자기기,32000,47000,main
toothbrush,전동 칫솔,셀프케어,31000,47000,main
massage_roller,마사지 롤러,셀프케어,30000,44000,main
hand_cream_set,핸드크림 3종 세트,셀프케어,30000,44000,main
chair_seat,자세교정 방석,문구·사무,33000,48000,main
whiteboard_memo,화이트보드 메모판,문구·사무,31000,45000,main
laptop_stand,노트북 거치대,문구·사무,30000,45000,main
backpack,백팩,의류·잡화,33000,49000,main
hoodie,기본 후드티,의류·잡화,33000,49000,main
scarf,울 혼방 머플러,의류·잡화,33000,49000,main
cutting_board,원목 도마,주방용품,34000,50000,main
coffee_dripper,드립 커피 세트,주방용품,33000,49000,main
chef_knife_set,셰프 나이프 2종 세트,주방용품,34000,49000,main
tumbler,보온보냉 텀블러,생활잡화,32000,48000,main
umbrella,3단 자동우산,생활잡화,30000,45000,main
neck_pillow,목쿠션,생활잡화,30000,44000,main
mood_lamp,무드등,홈리빙,33000,49000,main
diffuser,디퓨저,홈리빙,32000,47000,main
throw_blanket,극세사 담요,홈리빙,34000,50000,main
windbreaker,바람막이,의류·잡화,34000,50000,practice
